Time(s),Altitude(ft)
80.55,450.9
80.6,442.3
80.65,444.7
80.7,449.9
80.75,447.2
80.8,442.2
80.85,449.4
80.9,445.3
80.95,444.2
81.0,445.2
81.05,445.4
81.1,450.2
81.15,438.7
81.2,444.0
81.25,444.8
81.3,441.9
81.35,440.9
81.4,441.0
81.45,438.1
81.5,439.2
81.55,437.7
81.6,443.9
81.65,435.7
81.7,440.8
81.75,434.6
81.8,438.5
81.85,439.6
81.9,435.9
81.95,434.5
82.0,434.1
82.05,437.6
82.1,436.0
82.15,435.3
82.2,434.4
82.25,436.2
82.3,431.2
82.35,438.3
82.4,434.2
82.45,433.1
82.5,431.4
82.55,431.3
82.6,431.1
82.65,428.1
82.7,428.0
82.75,426.2
82.8,427.9
82.85,428.4
82.9,426.7
82.95,424.8
83.0,423.2
83.05,426.1
83.1,427.1
83.15,424.7
83.2,425.4
83.25,427.4
83.3,429.8
83.35,421.0
83.4,430.2
83.45,423.7
83.5,426.1
83.55,423.6
83.6,418.2
83.65,423.9
83.7,418.1
83.75,421.4
83.8,417.4
83.85,419.7
83.9,417.9
83.95,423.1
84.0,413.3
84.05,419.2
84.1,417.7
84.15,414.3
84.2,413.9
84.25,414.5
84.3,417.7
84.35,416.4
84.4,413.9
84.45,417.0
84.5,412.4
84.55,412.3
84.6,410.8
84.65,408.5
84.7,417.2
84.75,413.8
84.8,414.1
84.85,408.0
84.9,408.0
84.95,409.2
85.0,408.1
85.05,407.1
85.1,408.1
85.15,405.9
85.2,409.5
85.25,405.4
85.3,409.1
85.35,408.3
85.4,405.4
85.45,400.0
85.5,407.2
85.55,402.3
85.6,402.0
85.65,404.2
85.7,403.2
85.75,399.9
85.8,395.4
85.85,402.3
85.9,398.8
85.95,402.6
86.0,398.8
86.05,397.6
86.1,401.8
86.15,398.7
86.2,398.2
86.25,396.6
86.3,398.3
86.35,392.3
86.4,396.4
86.45,391.7
86.5,398.0
86.55,389.0
86.6,396.1
86.65,396.3
86.7,392.7
86.75,394.2
86.8,396.0
86.85,392.2
86.9,391.7
86.95,391.4
87.0,390.8
87.05,393.4
87.1,388.6
87.15,390.3
87.2,387.3
87.25,392.7
87.3,388.8
87.35,387.8
87.4,384.5
87.45,384.7
87.5,384.7
87.55,385.0
87.6,381.1
87.65,389.3
87.7,381.3
87.75,380.8
87.8,384.5
87.85,382.5
87.9,382.4
87.95,382.2
88.0,379.5
88.05,384.3
88.1,383.2
88.15,375.9
88.2,379.0
88.25,379.4
88.3,380.3
88.35,374.4
88.4,375.0
88.45,376.0
88.5,377.7
88.55,377.1
88.6,383.3
88.65,375.0
88.7,378.5
88.75,375.7
88.8,376.6
88.85,370.8
88.9,371.1
88.95,370.6
89.0,372.9
89.05,368.7
89.1,374.8
89.15,371.5
89.2,371.1
89.25,368.7
89.3,372.8
89.35,369.8
89.4,370.6
89.45,366.5
89.5,369.0
89.55,370.2
89.6,364.4
89.65,371.3
89.7,370.6
89.75,369.7
89.8,369.8
89.85,364.4
89.9,363.3
89.95,370.9
90.0,360.1
90.05,359.8
90.1,364.0
90.15,366.3
90.2,358.8
90.25,363.3
90.3,362.1
90.35,358.6
90.4,362.0
90.45,360.5
90.5,355.7
90.55,360.3
90.6,357.1
90.65,357.8
90.7,361.0
90.75,359.1
90.8,356.4
90.85,360.8
90.9,355.9
90.95,354.3
91.0,354.9
91.05,357.6
91.1,351.5
91.15,350.2
91.2,354.0
91.25,351.1
91.3,350.1
91.35,356.0
91.4,353.1
91.45,354.8
91.5,353.4
91.55,349.8
91.6,350.4
91.65,348.4
91.7,350.0
91.75,350.7
91.8,344.2
91.85,343.8
91.9,345.2
91.95,345.0
92.0,351.6
92.05,341.4
92.1,342.9
92.15,340.8
92.2,340.7
92.25,343.2
92.3,342.5
92.35,337.5
92.4,344.1
92.45,341.3
92.5,341.2
92.55,345.7
92.6,339.0
92.65,341.5
92.7,340.2
92.75,343.5
92.8,337.2
92.85,341.1
92.9,333.5
92.95,336.8
93.0,338.4
93.05,336.4
93.1,334.3
93.15,335.6
93.2,336.8
93.25,335.2
93.3,333.7
93.35,334.8
93.4,330.7
93.45,328.9
93.5,329.4
93.55,328.1
93.6,328.7
93.65,331.5
93.7,326.9
93.75,329.2
93.8,325.7
93.85,336.1
93.9,327.2
93.95,334.5
94.0,326.9
94.05,327.1
94.1,325.7
94.15,325.3
94.2,326.6
94.25,322.7
94.3,326.9
94.35,318.0
94.4,322.4
94.45,323.9
94.5,323.9
94.55,322.3
94.6,324.3
94.65,321.4
94.7,319.4
94.75,327.2
94.8,323.1
94.85,326.9
94.9,317.3
94.95,318.0
95.0,321.1
95.05,318.7
95.1,318.2
95.15,311.1
95.2,317.4
95.25,313.8
95.3,313.1
95.35,315.6
95.4,311.7
95.45,309.4
95.5,315.6
95.55,314.1
95.6,310.6
95.65,313.7
95.7,313.9
95.75,316.1
95.8,311.5
95.85,312.6
95.9,313.1
95.95,308.2
96.0,310.4
96.05,311.5
96.1,311.0
96.15,309.4
96.2,307.8
96.25,307.1
96.3,306.2
96.35,304.7
96.4,305.5
96.45,303.3
96.5,305.5
96.55,310.2
96.6,304.2
96.65,304.8
96.7,304.6
96.75,306.0
96.8,300.1
96.85,300.7
96.9,299.2
96.95,296.3
97.0,301.9
97.05,300.4
97.1,298.9
97.15,301.2
97.2,299.8
97.25,301.0
97.3,295.0
97.35,299.3
97.4,296.8
97.45,297.7
97.5,289.2
97.55,300.5
97.6,291.3
97.65,297.7
97.7,295.2
97.75,290.8
97.8,290.1
97.85,295.3
97.9,297.5
97.95,288.5
98.0,292.2
98.05,289.1
98.1,292.5
98.15,289.8
98.2,285.5
98.25,291.3
98.3,287.4
98.35,289.8
98.4,285.3
98.45,289.1
98.5,289.3
98.55,289.0
98.6,284.0
98.65,289.5
98.7,289.0
98.75,284.2
98.8,282.6
98.85,283.2
98.9,286.1
98.95,283.1
99.0,282.1
99.05,288.0
99.1,276.4
99.15,280.8
99.2,279.1
99.25,278.0
99.3,280.3
99.35,283.1
99.4,280.0
99.45,274.3
99.5,284.2
99.55,280.8
99.6,278.4
99.65,275.9
99.7,274.5
99.75,272.9
99.8,276.2
99.85,273.9
99.9,274.3
99.95,272.2
100.0,273.4
100.05,272.2
100.1,274.9
100.15,272.4
100.2,272.6
100.25,266.8
100.3,274.0
100.35,271.8
100.4,267.9
100.45,271.0
100.5,267.3
100.55,266.5
100.6,272.9
100.65,263.6
100.7,268.2
100.75,263.9
100.8,265.0
100.85,266.2
100.9,266.4
100.95,261.8
101.0,264.7
101.05,261.3
101.1,265.0
101.15,265.7
101.2,256.3
101.25,266.4
101.3,265.2
101.35,257.8
101.4,262.7
101.45,260.9
101.5,259.3
101.55,259.7
101.6,254.3
101.65,256.4
101.7,258.5
101.75,256.7
101.8,261.5
101.85,255.1
101.9,255.5
101.95,258.2
102.0,254.2
102.05,258.8
102.1,257.0
102.15,256.0
102.2,256.1
102.25,254.1
102.3,252.1
102.35,252.8
102.4,252.4
102.45,253.3
102.5,246.6
102.55,248.2
102.6,257.1
102.65,250.2
102.7,255.3
102.75,247.8
102.8,251.0
102.85,248.7
102.9,246.4
102.95,244.6
103.0,245.7
103.05,242.7
103.1,247.8
103.15,249.0
103.2,245.0
103.25,247.4
103.3,242.5
103.35,240.8
103.4,247.4
103.45,240.8
103.5,241.1
103.55,236.7
103.6,240.0
103.65,239.1
103.7,239.4
103.75,236.8
103.8,241.3
103.85,241.9
103.9,237.3
103.95,234.2
104.0,236.0
104.05,228.4
104.1,237.9
104.15,234.0
104.2,238.0
104.25,237.8
104.3,228.4
104.35,233.6
104.4,230.6
104.45,236.0
104.5,235.7
104.55,232.1
104.6,229.0
104.65,232.5
104.7,229.0
104.75,226.6
104.8,231.3
104.85,228.7
104.9,229.4
104.95,229.8
105.0,227.0
105.05,228.4
105.1,231.6
105.15,226.5
105.2,222.5
105.25,227.1
105.3,228.0
105.35,225.8
105.4,224.8
105.45,225.7
105.5,225.3
105.55,221.0
105.6,221.7
105.65,226.1
105.7,224.9
105.75,219.4
105.8,224.4
105.85,224.4
105.9,217.5
105.95,221.5
106.0,220.0
106.05,219.0
106.1,217.1
106.15,215.8
106.2,216.9
106.25,214.5
106.3,218.7
106.35,217.6
106.4,214.3
106.45,215.6
106.5,211.8
106.55,211.9
106.6,214.5
106.65,217.2
106.7,215.6
106.75,209.8
106.8,210.0
106.85,211.1
106.9,211.1
106.95,213.3
107.0,208.5
107.05,207.5
107.1,212.5
107.15,210.0
107.2,207.9
107.25,210.1
107.3,206.9
107.35,209.7
107.4,207.6
107.45,207.2
107.5,208.6
107.55,201.0
107.6,207.8
107.65,204.0
107.7,200.9
107.75,201.7
107.8,202.3
107.85,201.0
107.9,203.2
107.95,205.2
108.0,200.8
108.05,201.6
108.1,201.9
108.15,196.9
108.2,198.4
108.25,198.7
108.3,198.2
108.35,197.0
108.4,191.3
108.45,200.6
108.5,193.5
108.55,197.9
108.6,201.4
108.65,194.8
108.7,193.8
108.75,192.2
108.8,191.9
108.85,190.8
108.9,191.6
108.95,195.1
109.0,191.1
109.05,194.3
109.1,192.1
109.15,190.6
109.2,190.8
109.25,191.2
109.3,189.3
109.35,187.5
109.4,190.1
109.45,190.3
109.5,185.8
109.55,187.6
109.6,187.6
109.65,184.6
109.7,185.5
109.75,185.9
109.8,186.5
109.85,179.1
109.9,184.2
109.95,179.1
110.0,181.8
110.05,186.0
110.1,180.1
110.15,183.4
110.2,178.4
110.25,178.8
110.3,184.4
110.35,183.9
110.4,182.8
110.45,180.4
110.5,180.7
110.55,179.5
110.6,178.4
110.65,183.9
110.7,177.8
110.75,175.7
110.8,176.2
110.85,176.4
110.9,175.7
110.95,172.5
111.0,173.5
111.05,173.4
111.1,176.1
111.15,172.2
111.2,171.8
111.25,171.5
111.3,169.9
111.35,167.7
111.4,166.0
111.45,170.5
111.5,169.2
111.55,167.6
111.6,166.4
111.65,172.0
111.7,167.8
111.75,172.6
111.8,161.9
111.85,160.3
111.9,165.9
111.95,170.0
112.0,165.8
112.05,162.1
112.1,163.4
112.15,163.8
112.2,163.8
112.25,158.6
112.3,161.2
112.35,160.2
112.4,161.2
112.45,159.6
112.5,159.6
112.55,159.2
112.6,160.5
112.65,158.9
112.7,156.8
112.75,157.8
112.8,158.7
112.85,166.1
112.9,162.3
112.95,160.6
113.0,156.8
113.05,152.3
113.1,149.3
113.15,154.8
113.2,154.2
113.25,158.0
113.3,151.9
113.35,151.6
113.4,152.0
113.45,153.9
113.5,150.4
113.55,150.4
113.6,154.3
113.65,153.3
113.7,147.8
113.75,146.3
113.8,149.2
113.85,147.1
113.9,143.5
113.95,149.0
114.0,143.8
114.05,145.4
114.1,147.6
114.15,141.5
114.2,145.5
114.25,144.2
114.3,148.1
114.35,147.9
114.4,141.4
114.45,139.7
114.5,140.9
114.55,144.3
114.6,144.8
114.65,138.3
114.7,139.0
114.75,139.8
114.8,134.8
114.85,142.0
114.9,136.7
114.95,134.9
115.0,137.9
115.05,137.7
115.1,136.6
115.15,137.6
115.2,140.8
115.25,134.1
115.3,138.3
115.35,132.0
115.4,135.0
115.45,133.5
115.5,135.0
115.55,133.7
115.6,126.9
115.65,131.0
115.7,134.5
115.75,131.1
115.8,129.4
115.85,132.6
115.9,132.5
115.95,129.8
116.0,130.3
116.05,129.0
116.1,128.2
116.15,125.6
116.2,127.9
116.25,125.8
116.3,124.6
116.35,122.3
116.4,125.8
116.45,124.0
116.5,125.5
116.55,124.7
116.6,123.5
116.65,125.2
116.7,120.8
116.75,125.0
116.8,118.4
116.85,118.1
116.9,126.9
116.95,120.8
117.0,123.1
117.05,115.2
117.1,116.1
117.15,122.1
117.2,114.8
117.25,119.2
117.3,112.6
117.35,111.9
117.4,117.8
117.45,112.0
117.5,119.8
117.55,125.0
117.6,115.8
117.65,113.2
117.7,118.2
117.75,112.0
117.8,113.4
117.85,114.1
117.9,115.2
117.95,111.0
118.0,107.4
118.05,115.1
118.1,112.6
118.15,110.1
118.2,111.7
118.25,109.6
118.3,103.5
118.35,110.9
118.4,107.1
118.45,108.4
118.5,106.2
118.55,107.3
118.6,102.7
118.65,108.8
118.7,101.2
118.75,104.6
118.8,103.8
118.85,106.3
118.9,104.1
118.95,102.8
119.0,101.6
119.05,99.8
119.1,108.5
119.15,97.4
119.2,98.3
119.25,103.2
119.3,103.6
119.35,101.7
119.4,96.1
119.45,98.8
119.5,99.8
119.55,98.9
119.6,98.8
119.65,97.3
119.7,96.2
119.75,94.1
119.8,97.4
119.85,93.8
119.9,98.5
119.95,90.7
